client_id,sex,age,frequency,total_revenue,average_basket,0,1,2
c_1,m,69,15,300.65,20.043333333333333,174.20000000000002,71.58,54.87
c_10,m,68,16,586.18,36.63625,124.91999999999999,391.27,69.99
c_100,m,32,3,222.87,74.29,31.38,52.96,138.53
c_1000,f,58,42,980.02,23.333809523809524,169.85,810.17,0.0
c_1001,m,42,24,1102.45,45.93541666666667,527.81,274.64,300.0
c_1002,f,42,11,298.65,27.15,203.77,94.88,0.0
c_1003,m,42,21,552.67,26.317619047619047,389.91,162.76,0.0
c_1004,m,51,18,520.23,28.901666666666667,302.92,217.31,0.0
c_1005,f,83,15,476.67,31.778000000000002,151.0,325.66999999999996,0.0
c_1006,m,45,63,1925.49,30.563333333333333,1227.17,698.3199999999999,0.0
c_1007,f,83,11,299.34,27.21272727272727,87.41999999999999,211.92,0.0
c_1008,m,58,2,45.97,22.985,21.979999999999997,23.99,0.0
c_1009,f,30,5,298.64,59.727999999999994,22.9,86.97,188.76999999999998
c_101,m,23,4,214.99,53.7475,56.019999999999996,65.6,93.37
c_1010,m,30,11,838.83,76.25727272727273,0.0,87.53,751.3
c_1011,f,25,10,1042.3,104.22999999999999,110.0,196.98999999999998,735.31
c_1012,f,67,11,193.62,17.60181818181818,50.79,142.82999999999998,0.0
c_1013,m,42,40,1291.99,32.29975,766.45,483.03,42.51
c_1014,m,35,45,1427.8999999999999,31.731111111111108,958.96,354.95,113.99
c_1015,m,71,38,913.74,24.04578947368421,145.32,768.42,0.0
c_1016,m,44,42,1224.35,29.151190476190475,795.96,428.39,0.0
c_1017,f,49,34,1044.58,30.722941176470584,529.92,514.66,0.0
c_1018,f,31,6,762.53,127.08833333333332,11.78,103.06,647.69
c_1019,f,76,6,214.66,35.776666666666664,79.78,83.88999999999999,50.99
c_102,m,42,5,192.17,38.434,103.45,88.72,0.0
c_1020,m,49,8,269.56,33.695,123.0,146.56,0.0
c_1021,f,25,8,590.79,73.84875,0.0,45.58,545.21
c_1022,m,28,9,623.73,69.30333333333334,21.979999999999997,110.78999999999999,490.96000000000004
c_1023,m,25,17,1293.17,76.06882352941177,43.64,202.48999999999998,1047.04
c_1024,f,54,6,128.05,21.34166666666667,16.98,111.07,0.0
c_1025,m,40,60,1592.52,26.541999999999998,962.3199999999999,630.1999999999999,0.0
c_1026,m,26,12,997.06,83.08833333333332,61.29,185.5,750.27
c_1027,f,45,26,728.34,28.013076923076923,367.91,360.43,0.0
c_1028,m,38,55,1645.1499999999999,29.91181818181818,1240.29,404.86,0.0
c_1029,m,68,5,113.71,22.741999999999997,34.97,78.74,0.0
c_103,f,38,47,1354.7,28.82340425531915,887.66,467.03999999999996,0.0
c_1030,m,76,13,234.59,18.045384615384616,83.57,151.01999999999998,0.0
c_1031,f,61,61,1538.77,25.225737704918032,323.45,1058.33,156.99
c_1032,m,61,17,351.56,20.68,98.37,253.19,0.0
c_1033,f,24,3,278.42,92.80666666666667,0.0,16.99,261.43
c_1034,f,60,4,100.77000000000001,25.192500000000003,0.0,100.77000000000001,0.0
c_1035,f,43,3,128.5,42.833333333333336,66.53,61.97,0.0
c_1036,f,48,7,236.51,33.787142857142854,90.01,146.5,0.0
c_1037,m,63,31,767.56,24.759999999999998,185.81,516.0,65.75
c_1038,m,22,9,458.62,50.95777777777778,80.97,70.24000000000001,307.41
